기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"2019-01","01","살아 있는 동물",2.1,155,49.9,2571,-2415
"2019-01","02","육과 식용 설육(屑肉)",4235.2,4623,144464.4,656518,-651895
"2019-01","03","어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생(水生) 무척추동물",49502.0,144381,130006.2,509332,-364951
"2019-01","04","낙농품, 새의 알, 천연꿀, 다른 류로 분류되지 않은 식용인 동물성 생산품",2223.3,4944,25932.5,88130,-83186
"2019-01","05","다른 류로 분류되지 않은 동물성 생산품",1633.8,6524,6709.0,33082,-26558
"2019-01","06","살아 있는 수목과 그 밖의 식물, 인경(鱗莖)ㆍ뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎",149.5,1143,6279.2,11898,-10755
"2019-01","07","식용의 채소ㆍ뿌리ㆍ괴경(塊莖)",9342.4,17177,90688.8,61585,-44407
"2019-01","08","식용의 과실과 견과류, 감귤류ㆍ멜론의 껍질",5364.3,24391,67406.7,137055,-112665
"2019-01","09","커피ㆍ차ㆍ마테(maté)ㆍ향신료",398.6,2368,17630.5,66259,-63892
"2019-01","10","곡물",112.9,263,1555394.8,382952,-382688
"2019-01","11","제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)",6762.4,3497,24256.3,16467,-12970
"2019-01","12","채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용ㆍ의약용 식물, 짚과 사료용 식물",2134.4,32094,217233.8,123192,-91099
"2019-01","13","락(lac), 검ㆍ수지ㆍ그 밖의 식물성 수액과 추출물(extract)",441.4,8772,6448.9,21708,-12937
"2019-01","14","식물성 편조물(編組物)용 재료와 다른 류로 분류되지 않은 식물성 생산품",40.3,10,83743.7,11952,-11942
"2019-01","15","동물성ㆍ식물성ㆍ미생물성 지방과 기름 및이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",4539.9,6455,109260.1,100459,-94005
"2019-01","16","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품",3069.5,20713,17064.8,91469,-70756
"2019-01","17","당류(糖類)와 설탕과자",36051.9,26484,292853.7,114259,-87776
"2019-01","18","코코아와 그 조제품",2277.7,4112,8069.1,51667,-47555
"2019-01","19","곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품",26746.5,86018,25874.2,72008,14010
"2019-01","20","채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품",6051.4,27901,91634.9,110833,-82931
"2019-01","21","각종 조제 식료품",31296.4,117749,27321.9,180365,-62616
"2019-01","22","음료ㆍ주류ㆍ식초",71205.6,69872,95536.6,103635,-33763
"2019-01","23","식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",21820.1,15051,639932.3,215142,-200091
"2019-01","24","담배와 제조한 담배 대용물, 연소시키지 않고흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",8677.4,70906,8488.0,46780,24127
"2019-01","25","소금, 황, 토석류(土石類), 석고ㆍ석회ㆍ시멘트",828338.4,43270,903739.8,84085,-40814
"2019-01","26","광(鑛)ㆍ슬래그(slag)ㆍ회(灰)",130452.5,8297,7150600.8,1224055,-1215758
"2019-01","27","광물성 연료ㆍ광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",6797890.8,3709573,33790796.5,11292367,-7582794
"2019-01","28","무기화학품, 귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의 유기화합물이나 무기화합물",503381.9,478483,453455.5,907404,-428920
"2019-01","29","유기화학품",1950912.4,2007169,709421.2,1218086,789083
"2019-01","30","의료용품",1717.1,199246,6701.0,545274,-346028
"2019-01","31","비료",191729.3,46335,208676.9,73155,-26820
"2019-01","32","유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",28262.8,200554,32113.5,234017,-33463
"2019-01","33","정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",24660.4,456447,9067.4,169837,286610
"2019-01","34","비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품",44814.6,93454,23630.2,88639,4815
"2019-01","35","단백질계 물질, 변성전분, 글루(glue), 효소",5339.3,55194,13704.3,57494,-2300
"2019-01","36","화약류, 화공품, 성냥, 발화성 합금, 특정 가연성 조제품",178.7,2095,439.8,2579,-484
"2019-01","37","사진용이나 영화용 재료",1930.5,83378,4202.3,78050,5327
"2019-01","38","각종 화학공업 생산품",90029.5,398319,199977.3,799982,-401664
"2019-01","39","플라스틱과 그 제품",1388976.8,2922092,280527.9,1064895,1857197
"2019-01","40","고무와 그 제품",260451.6,687658,98402.6,230245,457413
"2019-01","41","원피(모피는 제외한다)와 가죽",4615.3,42731,16385.9,37825,4907
"2019-01","42","가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",763.3,28293,10054.1,283258,-254965
"2019-01","43","모피ㆍ인조모피와 이들의 제품",0.9,480,123.0,12801,-12321
"2019-01","44","목재와 그 제품, 목탄",8284.5,9106,1035080.4,319579,-310472
"2019-01","45","코르크(cork)와 그 제품",2.4,17,45.4,377,-361
"2019-01","46","짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",0.5,53,715.7,2534,-2481
"2019-01","47","목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)]",42560.6,8089,352745.5,187396,-179307
"2019-01","48","종이와 판지, 제지용 펄프ㆍ종이ㆍ판지의 제품",254783.4,261336,131459.2,193925,67411
"2019-01","49","인쇄서적ㆍ신문ㆍ회화ㆍ그 밖의 인쇄물, 수제(手製)문서ㆍ타자문서ㆍ도면",2530.5,13975,1406.3,21610,-7635
"2019-01","50","견",19.0,3192,75.6,5606,-2413
"2019-01","51","양모ㆍ동물의 부드러운 털이나 거친 털ㆍ말의 털로 만든 실과 직물",151.7,4065,1504.8,27054,-22989
"2019-01","52","면",6733.3,36313,33970.9,101203,-64890
"2019-01","53","그 밖의 식물성 방직용 섬유, 종이실(paper yarn)과 종이실로 만든 직물",387.4,3280,3870.3,17899,-14619
"2019-01","54","인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것",43806.8,242133,40994.7,106989,135144
"2019-01","55","인조스테이플섬유",78880.0,152765,21850.0,70687,82078
"2019-01","56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품",11632.2,62190,13631.5,55727,6464
"2019-01","57","양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개",908.6,3291,2708.2,9687,-6395
"2019-01","58","특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천",2357.1,31316,828.6,7130,24186
